Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,NRxRSRP,NRxRSRQ,ServingCell_Lon,ServingCell_Lat,ServingCell_Distance
2018.02.05_15.11.36,-8.655394,52.138499,23,B,2,LTE,-121,-13,0.0,6,-94,391,19,D,-113.0,-15.0,-8.607458,52.061792,9136.2999999999993
2018.02.05_15.11.39,-8.655394,52.138499,23,B,2,LTE,-124,-15,2.0,4,-94,0,0,D,-115.0,-17.0,-8.607458,52.061792,9136.2999999999993
2018.02.05_15.11.40,-8.655394,52.138499,23,B,2,LTE,-124,-15,2.0,4,-94,0,0,D,-115.0,-17.0,-8.607458,52.061792,9136.2999999999993
2018.02.05_15.11.42,-8.655394,52.138499,23,B,2,LTE,-123,-13,1.0,4,-94,0,0,D,-115.0,-16.0,-8.607458,52.061792,9136.2999999999993
2018.02.05_15.11.43,-8.655394,52.138499,23,B,2,LTE,-123,-13,1.0,4,-94,0,11,D,-115.0,-16.0,-8.607458,52.061792,9136.2999999999993
2018.02.05_15.11.44,-8.655394,52.138499,23,B,2,LTE,-121,-14,4.0,2,-94,0,0,D,-115.0,-17.0,-8.607458,52.061792,9136.2999999999993
2018.02.05_15.11.45,-8.655394,52.138499,23,B,2,LTE,-121,-14,4.0,6,-94,0,1,D,-115.0,-17.0,-8.607458,52.061792,9136.2999999999993
2018.02.05_15.11.46,-8.655394,52.138499,23,B,2,LTE,-113,-7,7.0,10,-93,6,1,D,-99.0,-6.0,-8.607458,52.061792,9136.2999999999993
2018.02.05_15.11.47,-8.655394,52.138499,23,B,2,LTE,-113,-7,12.0,9,-94,0,0,D,-99.0,-6.0,-8.607458,52.061792,9136.2999999999993
2018.02.05_15.11.48,-8.655394,52.138499,23,B,2,LTE,-112,-9,12.0,11,-94,0,0,D,-97.0,-8.0,-8.607458,52.061792,9136.2999999999993
2018.02.05_15.11.49,-8.655394,52.138499,23,B,2,LTE,-112,-9,12.0,12,-94,0,0,D,-97.0,-8.0,-8.607458,52.061792,9136.2999999999993
2018.02.05_15.12.32,-8.655394,52.138499,23,B,2,LTE,-114,-10,10.0,11,-94,2001,115,D,-100.0,-6.0,-8.607458,52.061792,9136.2999999999993
2018.02.05_15.12.44,-8.655394,52.138499,23,B,2,LTE,-119,-11,7.0,9,-94,1,0,D,-98.0,-4.0,-8.607458,52.061792,9136.2999999999993
2018.02.05_15.12.45,-8.655394,52.138499,23,B,2,LTE,-119,-14,4.0,6,-94,0,1,D,-108.0,-10.0,-8.607458,52.061792,9136.2999999999993
2018.02.05_15.12.46,-8.655394,52.138499,23,B,2,LTE,-119,-14,4.0,6,-94,6,9,D,-108.0,-10.0,-8.607458,52.061792,9136.2999999999993
2018.02.05_15.12.53,-8.655394,52.138499,23,B,2,LTE,-118,-10,7.0,6,-94,2187,43,D,-123.0,-13.0,-8.607458,52.061792,9136.2999999999993
2018.02.05_15.12.54,-8.655394,52.138499,23,B,2,LTE,-118,-10,7.0,6,-94,67,2,D,-123.0,-13.0,-8.607458,52.061792,9136.2999999999993
2018.02.05_15.12.55,-8.655394,52.138499,23,B,2,LTE,-116,-11,6.0,6,-94,0,0,D,-99.0,-4.0,-8.607458,52.061792,9136.2999999999993
2018.02.05_15.12.56,-8.655394,52.138499,23,B,2,LTE,-116,-11,6.0,4,-94,0,0,D,-99.0,-4.0,-8.607458,52.061792,9136.2999999999993
2018.02.05_15.12.57,-8.655394,52.138499,23,B,2,LTE,-116,-14,3.0,4,-94,0,0,D,-102.0,-6.0,-8.607458,52.061792,9136.2999999999993
2018.02.05_15.12.58,-8.655394,52.138499,23,B,2,LTE,-116,-14,3.0,4,-94,0,0,D,-102.0,-6.0,-8.607458,52.061792,9136.2999999999993
2018.02.05_15.12.59,-8.655394,52.138499,23,B,2,LTE,-120,-13,2.0,5,-94,112,6,D,-122.0,-15.0,-8.607458,52.061792,9136.2999999999993
2018.02.05_15.13.01,-8.655394,52.138499,23,B,2,LTE,-120,-13,2.0,4,-94,514,19,D,-122.0,-15.0,-8.607458,52.061792,9136.2999999999993
2018.02.05_15.13.08,-8.655394,52.138499,23,B,2,LTE,-110,-9,14.0,12,-93,883,16,D,-115.0,-16.0,-8.607458,52.061792,9136.2999999999993
2018.02.05_15.13.09,-8.655394,52.138499,23,B,2,LTE,-110,-9,14.0,12,-93,1196,22,D,-115.0,-16.0,-8.607458,52.061792,9136.2999999999993
2018.02.05_15.13.13,-8.655394,52.138499,23,B,2,LTE,-118,-12,10.0,6,-94,1230,22,D,-100.0,-10.0,-8.607458,52.061792,9136.2999999999993
2018.02.05_15.13.19,-8.655394,52.138499,23,B,2,LTE,-117,-10,7.0,11,-94,447,8,D,-102.0,-11.0,-8.607458,52.061792,9136.2999999999993
2018.02.05_15.13.31,-8.655394,52.138499,23,B,1,LTE,-115,-13,3.0,6,-94,4697,92,D,-99.0,-7.0,-8.606065,52.05064,10334.34
2018.02.05_15.13.32,-8.655394,52.138499,23,B,1,LTE,-115,-13,3.0,4,-94,3388,193,D,-99.0,-7.0,-8.606065,52.05064,10334.34
2018.02.05_15.13.33,-8.655394,52.138499,23,B,1,LTE,-114,-13,2.0,5,-94,4606,240,D,-95.0,-6.0,-8.606065,52.05064,10334.34
2018.02.05_15.13.34,-8.655394,52.138499,23,B,1,LTE,-114,-13,2.0,5,-94,3288,188,D,-95.0,-6.0,-8.606065,52.05064,10334.34
2018.02.05_15.13.36,-8.655394,52.138499,23,B,1,LTE,-122,-15,1.0,6,-94,3724,213,D,-125.0,-18.0,-8.606065,52.05064,10334.34
2018.02.05_15.13.37,-8.655394,52.138499,23,B,1,LTE,-122,-15,1.0,8,-94,2829,80,D,-125.0,-18.0,-8.606065,52.05064,10334.34
2018.02.05_15.13.38,-8.655394,52.138499,23,B,1,LTE,-119,-12,1.0,5,-94,9607,178,D,-126.0,-20.0,-8.606065,52.05064,10334.34
2018.02.05_15.13.39,-8.655394,52.138499,23,B,1,LTE,-119,-12,1.0,14,-93,10177,188,D,-126.0,-20.0,-8.606065,52.05064,10334.34
2018.02.05_15.13.40,-8.655394,52.138499,23,B,1,LTE,-110,-13,4.0,14,-93,10759,200,D,-115.0,-18.0,-8.606065,52.05064,10334.34
2018.02.05_15.13.41,-8.655394,52.138499,23,B,1,LTE,-110,-13,4.0,14,-93,19650,365,D,-115.0,-18.0,-8.606065,52.05064,10334.34
2018.02.05_15.13.47,-8.655394,52.138499,23,B,1,LTE,-109,-13,7.0,7,-92,5323,249,D,-113.0,-17.0,-8.606065,52.05064,10334.34
2018.02.05_15.13.48,-8.655394,52.138499,23,B,1,LTE,-109,-13,7.0,6,-90,4652,127,D,-113.0,-17.0,-8.606065,52.05064,10334.34
2018.02.05_15.13.49,-8.655394,52.138499,23,B,1,LTE,-110,-13,1.0,4,-93,10166,189,D,-113.0,-18.0,-8.606065,52.05064,10334.34
2018.02.05_15.13.50,-8.655394,52.138499,23,B,1,LTE,-110,-13,1.0,4,-94,3981,74,D,-113.0,-18.0,-8.606065,52.05064,10334.34
2018.02.05_15.13.51,-8.655394,52.138499,23,B,1,LTE,-113,-13,3.0,4,-94,10714,336,D,-112.0,-16.0,-8.606065,52.05064,10334.34
2018.02.05_15.13.52,-8.655394,52.138499,23,B,1,LTE,-113,-13,3.0,5,-94,2818,65,D,-112.0,-16.0,-8.606065,52.05064,10334.34
2018.02.05_15.13.54,-8.655394,52.138499,23,B,1,LTE,-118,-15,-1.0,4,-94,1017,58,D,-112.0,-12.0,-8.606065,52.05064,10334.34
2018.02.05_15.13.55,-8.655394,52.138499,23,B,1,LTE,-118,-15,-1.0,4,-94,3757,215,D,-112.0,-12.0,-8.606065,52.05064,10334.34
2018.02.05_15.13.56,-8.655394,52.138499,23,B,1,LTE,-111,-13,0.0,6,-88,9886,188,D,-112.0,-16.0,-8.606065,52.05064,10334.34
2018.02.05_15.13.57,-8.655394,52.138499,23,B,1,LTE,-111,-13,0.0,6,-88,14762,277,D,-112.0,-16.0,-8.606065,52.05064,10334.34
2018.02.05_15.14.09,-8.655394,52.138499,23,B,1,LTE,-107,-12,8.0,9,-91,12582,234,D,-112.0,-17.0,-8.606065,52.05064,10334.34
2018.02.05_15.14.10,-8.655394,52.138499,23,B,1,LTE,-107,-12,8.0,6,-93,4697,193,D,-112.0,-17.0,-8.606065,52.05064,10334.34
2018.02.05_15.14.11,-8.655394,52.138499,23,B,1,LTE,-112,-13,6.0,9,-94,4932,213,D,-114.0,-13.0,-8.606065,52.05064,10334.34
2018.02.05_15.14.13,-8.655394,52.138499,23,B,1,LTE,-112,-13,6.0,13,-90,14428,268,D,-114.0,-13.0,-8.606065,52.05064,10334.34
2018.02.05_15.14.23,-8.655394,52.138499,23,B,2,LTE,-116,-11,8.0,8,-94,178,4,D,-116.0,-18.0,-8.607458,52.061792,9136.2999999999993
2018.02.05_15.14.25,-8.655394,52.138499,23,B,2,LTE,-115,-12,7.0,4,-94,33,0,D,-99.0,-7.0,-8.607458,52.061792,9136.2999999999993
2018.02.05_15.14.26,-8.655394,52.138499,23,B,2,LTE,-115,-12,7.0,2,-94,0,0,D,-99.0,-7.0,-8.607458,52.061792,9136.2999999999993
2018.02.05_15.14.30,-8.655394,52.138499,23,B,2,LTE,-125,-15,2.0,6,-94,0,0,D,-123.0,-14.0,-8.607458,52.061792,9136.2999999999993
2018.02.05_15.14.31,-8.655394,52.138499,23,B,2,LTE,-125,-15,2.0,6,-94,0,0,D,-123.0,-14.0,-8.607458,52.061792,9136.2999999999993
2018.02.05_15.14.40,-8.655394,52.138499,23,B,1,LTE,-123,-13,7.0,2,-94,0,0,D,-106.0,-7.0,-8.606065,52.05064,10334.34
2018.02.05_15.14.41,-8.655394,52.138499,23,B,1,LTE,-123,-13,7.0,2,-94,0,0,D,-106.0,-7.0,-8.606065,52.05064,10334.34
2018.02.05_15.14.51,-8.655394,52.138499,23,B,1,LTE,-116,-9,8.0,9,-94,950,21,D,-98.0,-225.0,-8.606065,52.05064,10334.34
2018.02.05_15.14.52,-8.655394,52.138499,23,B,1,LTE,-115,-9,4.0,8,-94,6386,229,D,-99.0,-6.0,-8.606065,52.05064,10334.34
2018.02.05_15.14.53,-8.655394,52.138499,23,B,1,LTE,-115,-9,4.0,8,-94,1599,85,D,-99.0,-6.0,-8.606065,52.05064,10334.34
2018.02.05_15.14.54,-8.655394,52.138499,23,B,1,LTE,-111,-8,7.0,12,-94,1153,46,D,-103.0,-7.0,-8.606065,52.05064,10334.34
2018.02.05_15.14.55,-8.655394,52.138499,23,B,1,LTE,-111,-8,7.0,12,-94,10010,262,D,-103.0,-7.0,-8.606065,52.05064,10334.34
2018.02.05_15.15.14,-8.655394,52.138499,23,B,1,LTE,-114,-12,11.0,12,-94,14583,756,D,-92.0,-4.0,-8.606065,52.05064,10334.34
2018.02.05_15.15.15,-8.655394,52.138499,23,B,1,LTE,-114,-12,11.0,12,-94,0,0,D,-92.0,-4.0,-8.606065,52.05064,10334.34
2018.02.05_15.15.16,-8.655394,52.138499,23,B,1,LTE,-113,-7,10.0,12,-94,6140,124,D,-91.0,-8.0,-8.606065,52.05064,10334.34
2018.02.05_15.15.17,-8.655394,52.138499,23,B,1,LTE,-113,-7,10.0,15,-92,14695,594,D,-91.0,-8.0,-8.606065,52.05064,10334.34
2018.02.05_15.15.40,-8.615374,52.041806,114,B,1,LTE,-119,-13,6.0,10,-94,13152,601,D,-100.0,-7.0,-8.606065,52.05064,1170.55
2018.02.05_15.15.41,-8.615374,52.041806,114,B,1,LTE,-119,-13,6.0,15,-86,32545,605,D,-100.0,-7.0,-8.606065,52.05064,1170.55
2018.02.05_15.19.30,-8.615374,52.041806,114,B,2,LTE,-100,-7,25.0,15,-78,0,0,I,-51.0,-24.0,-8.577346,51.968849,8519.8299999999999
2018.02.05_15.19.57,-8.615374,52.041806,114,B,2,LTE,-116,-11,7.0,10,-94,5770,106,D,-99.0,-6.0,-8.577346,51.968849,8519.8299999999999
2018.02.05_15.19.58,-8.615374,52.041806,114,B,2,LTE,-116,-11,7.0,10,-94,6106,113,D,-99.0,-6.0,-8.577346,51.968849,8519.8299999999999
2018.02.05_15.19.59,-8.615374,52.041806,114,B,2,LTE,-115,-12,8.0,7,-94,1677,31,D,-92.0,-3.0,-8.577346,51.968849,8519.8299999999999
2018.02.05_15.24.05,-8.490956,51.934883,74,B,1,LTE,-109,-11,5.0,8,-92,15668,394,D,-116.0,-18.0,-8.489758,51.928426,722.66999999999996
2018.02.05_15.24.06,-8.490956,51.934883,74,B,1,LTE,-109,-11,5.0,8,-92,27691,513,D,-116.0,-18.0,-8.489758,51.928426,722.66999999999996
2018.02.05_15.24.07,-8.490956,51.934883,74,B,1,LTE,-111,-12,5.0,8,-94,24280,444,D,-114.0,-17.0,-8.489758,51.928426,722.66999999999996
2018.02.05_15.24.08,-8.490956,51.934883,74,B,1,LTE,-111,-12,4.0,9,-89,27467,509,D,-114.0,-17.0,-8.489758,51.928426,722.66999999999996
2018.02.05_15.24.09,-8.490956,51.934883,74,B,1,LTE,-106,-12,4.0,8,-91,26103,506,D,-112.0,-18.0,-8.489758,51.928426,722.66999999999996
2018.02.05_15.24.11,-8.490956,51.934883,74,B,1,LTE,-106,-12,4.0,8,-91,26036,465,D,-112.0,-18.0,-8.489758,51.928426,722.66999999999996
2018.02.05_15.24.12,-8.490956,51.934883,74,B,1,LTE,-108,-13,4.0,8,-91,33518,586,D,-110.0,-17.0,-8.489758,51.928426,722.66999999999996
2018.02.05_15.24.13,-8.490956,51.934883,74,B,1,LTE,-108,-13,4.0,8,-91,33552,608,D,-110.0,-17.0,-8.489758,51.928426,722.66999999999996
2018.02.05_15.24.14,-8.490956,51.934883,74,B,1,LTE,-107,-12,6.0,8,-91,28373,505,D,-111.0,-16.0,-8.489758,51.928426,722.66999999999996
2018.02.05_15.24.15,-8.490956,51.934883,74,B,1,LTE,-107,-12,6.0,8,-91,34569,621,D,-111.0,-16.0,-8.489758,51.928426,722.66999999999996
2018.02.05_15.24.16,-8.490956,51.934883,74,B,1,LTE,-108,-12,6.0,8,-91,24750,449,D,-113.0,-19.0,-8.489758,51.928426,722.66999999999996
2018.02.05_15.24.17,-8.490956,51.934883,74,B,1,LTE,-108,-12,6.0,8,-91,15635,796,D,-113.0,-19.0,-8.489758,51.928426,722.66999999999996
2018.02.05_15.24.18,-8.490956,51.934883,74,B,1,LTE,-105,-11,4.0,8,-88,20310,712,D,-108.0,-16.0,-8.489758,51.928426,722.66999999999996
2018.02.05_15.24.19,-8.490956,51.934883,74,B,1,LTE,-105,-11,4.0,8,-88,19270,524,D,-108.0,-16.0,-8.489758,51.928426,722.66999999999996
2018.02.05_15.24.20,-8.490956,51.934883,74,B,1,LTE,-107,-13,2.0,7,-90,25019,438,D,-111.0,-16.0,-8.489758,51.928426,722.66999999999996
2018.02.05_15.24.22,-8.490956,51.934883,74,B,1,LTE,-107,-13,2.0,7,-90,19728,361,D,-111.0,-16.0,-8.489758,51.928426,722.66999999999996
2018.02.05_15.24.23,-8.490956,51.934883,74,B,1,LTE,-106,-13,2.0,9,-88,28306,507,D,-109.0,-15.0,-8.489758,51.928426,722.66999999999996
2018.02.05_15.24.24,-8.490956,51.934883,74,B,1,LTE,-106,-13,2.0,9,-91,30700,547,D,-109.0,-15.0,-8.489758,51.928426,722.66999999999996
2018.02.05_15.24.27,-8.490956,51.934883,74,B,1,LTE,-102,-12,8.0,11,-85,38226,677,D,-109.0,-18.0,-8.489758,51.928426,722.66999999999996
2018.02.05_15.24.28,-8.490956,51.934883,74,B,1,LTE,-102,-12,8.0,11,-85,35453,646,D,-109.0,-18.0,-8.489758,51.928426,722.66999999999996
